error, attempt, epochs, momentum, maxAttempts, maxEpochsPerAttempt, epochSize, configuration, ms
20, 0, 735, 0.1, 8, 5000, 59, "1024-10-3", 9339
20, 1, 4241, 0.1, 8, 5000, 59, "1024-10-3", 117396
20, 0, 2436, 0.1, 8, 5000, 59, "1024-10-3", 30904
20, 0, 1198, 0.1, 8, 5000, 59, "1024-10-3", 15020
20, 0, 751, 0.1, 8, 5000, 59, "1024-10-3", 1261
20, 0, 351, 0.1, 8, 5000, 59, "1024-10-3", 562
20, 1, 379, 0.1, 8, 5000, 59, "1024-10-3", 8970
20, 2, 128, 0.1, 8, 5000, 59, "1024-10-3", 17022
20, 1, 116, 0.1, 8, 5000, 59, "1024-10-3", 8670
20, 2, 468, 0.1, 8, 5000, 59, "1024-10-3", 17516
20, 0, 622, 0.1, 8, 5000, 59, "1024-10-3", 1045
20, 0, 4048, 0.1, 8, 5000, 59, "1024-10-3", 6738
20, 0, 267, 0.1, 8, 5000, 59, "1024-10-3", 457
20, 0, 331, 0.1, 8, 5000, 59, "1024-10-3", 581
20, 0, 216, 0.1, 8, 5000, 59, "1024-10-3", 370
20, 0, 1434, 0.1, 8, 5000, 59, "1024-10-3", 2419
20, 0, 1889, 0.1, 8, 5000, 59, "1024-10-3", 3157
20, 0, 966, 0.1, 8, 5000, 59, "1024-10-3", 1616
20, 0, 927, 0.1, 8, 5000, 59, "1024-10-3", 1507
20, 0, 158, 0.1, 8, 5000, 59, "1024-10-3", 256
20, 0, 748, 0.1, 8, 5000, 59, "1024-10-3", 1267
20, 0, 2528, 0.1, 8, 5000, 59, "1024-10-3", 4259
20, 0, 694, 0.1, 8, 5000, 59, "1024-10-3", 1190
20, 0, 659, 0.1, 8, 5000, 59, "1024-10-3", 1114
20, 0, 3906, 0.1, 8, 5000, 59, "1024-10-3", 6447
20, 0, 331, 0.1, 8, 5000, 59, "1024-10-3", 534
20, 0, 304, 0.1, 8, 5000, 59, "1024-10-3", 508
20, 0, 576, 0.1, 8, 5000, 59, "1024-10-3", 948
20, 1, 245, 0.1, 8, 5000, 59, "1024-10-3", 8660
20, 0, 1730, 0.1, 8, 5000, 59, "1024-10-3", 2887
20, 1, 73, 0.1, 8, 5000, 59, "1024-10-3", 8456
20, 0, 2026, 0.1, 8, 5000, 59, "1024-10-3", 3424
20, 0, 1125, 0.1, 8, 5000, 59, "1024-10-3", 1910
20, 0, 224, 0.1, 8, 5000, 59, "1024-10-3", 373
20, 0, 3051, 0.1, 8, 5000, 59, "1024-10-3", 5048
20, 0, 3023, 0.1, 8, 5000, 59, "1024-10-3", 5100
20, 0, 1797, 0.1, 8, 5000, 59, "1024-10-3", 3008
20, 0, 300, 0.1, 8, 5000, 59, "1024-10-3", 515
20, 0, 4570, 0.1, 8, 5000, 59, "1024-10-3", 7695
20, 0, 871, 0.1, 8, 5000, 59, "1024-10-3", 1422
20, 0, 1519, 0.1, 8, 5000, 59, "1024-10-3", 2562
20, 0, 305, 0.1, 8, 5000, 59, "1024-10-3", 517
20, 0, 1924, 0.1, 8, 5000, 59, "1024-10-3", 3174
20, 0, 1788, 0.1, 8, 5000, 59, "1024-10-3", 2956
20, 0, 1342, 0.1, 8, 5000, 59, "1024-10-3", 2245
20, 0, 2259, 0.1, 8, 5000, 59, "1024-10-3", 3693
20, 2, 1308, 0.1, 8, 5000, 59, "1024-10-3", 19196
20, 0, 3397, 0.1, 8, 5000, 59, "1024-10-3", 5615
20, 0, 1633, 0.1, 8, 5000, 59, "1024-10-3", 2749
20, 0, 1189, 0.1, 8, 5000, 59, "1024-10-3", 1932
20, 1, 4619, 0.1, 8, 5000, 59, "1024-10-3", 15895
20, 0, 1107, 0.1, 8, 5000, 59, "1024-10-3", 1865
20, 1, 494, 0.1, 8, 5000, 59, "1024-10-3", 9254
20, 0, 1179, 0.1, 8, 5000, 59, "1024-10-3", 2027
20, 0, 1393, 0.1, 8, 5000, 59, "1024-10-3", 2310
20, 0, 708, 0.1, 8, 5000, 59, "1024-10-3", 1190
20, 0, 1474, 0.1, 8, 5000, 59, "1024-10-3", 2420
20, 0, 242, 0.1, 8, 5000, 59, "1024-10-3", 387
20, 1, 2781, 0.1, 8, 5000, 59, "1024-10-3", 12990
20, 0, 1610, 0.1, 8, 5000, 59, "1024-10-3", 2664
20, 0, 581, 0.1, 8, 5000, 59, "1024-10-3", 957
20, 0, 1514, 0.1, 8, 5000, 59, "1024-10-3", 2524
20, 0, 3358, 0.1, 8, 5000, 59, "1024-10-3", 5556
20, 0, 1832, 0.1, 8, 5000, 59, "1024-10-3", 3071
20, 1, 358, 0.1, 8, 5000, 59, "1024-10-3", 8961
20, 0, 244, 0.1, 8, 5000, 59, "1024-10-3", 418
20, 0, 3368, 0.1, 8, 5000, 59, "1024-10-3", 5642
20, 0, 309, 0.1, 8, 5000, 59, "1024-10-3", 514
20, 0, 82, 0.1, 8, 5000, 59, "1024-10-3", 136
20, 0, 588, 0.1, 8, 5000, 59, "1024-10-3", 979
20, 0, 2092, 0.1, 8, 5000, 59, "1024-10-3", 3502
20, 1, 1674, 0.1, 8, 5000, 59, "1024-10-3", 11213
20, 0, 195, 0.1, 8, 5000, 59, "1024-10-3", 327
20, 1, 1124, 0.1, 8, 5000, 59, "1024-10-3", 10210
20, 0, 621, 0.1, 8, 5000, 59, "1024-10-3", 1031
20, 0, 768, 0.1, 8, 5000, 59, "1024-10-3", 1306
20, 0, 122, 0.1, 8, 5000, 59, "1024-10-3", 222
20, 0, 518, 0.1, 8, 5000, 59, "1024-10-3", 901
20, 0, 1271, 0.1, 8, 5000, 59, "1024-10-3", 2087
20, 0, 289, 0.1, 8, 5000, 59, "1024-10-3", 486
20, 0, 1261, 0.1, 8, 5000, 59, "1024-10-3", 2116
20, 0, 807, 0.1, 8, 5000, 59, "1024-10-3", 1331
20, 0, 3548, 0.1, 8, 5000, 59, "1024-10-3", 5864
20, 0, 711, 0.1, 8, 5000, 59, "1024-10-3", 1178
20, 0, 792, 0.1, 8, 5000, 59, "1024-10-3", 1360
20, 0, 839, 0.1, 8, 5000, 59, "1024-10-3", 1368
20, 1, 60, 0.1, 8, 5000, 59, "1024-10-3", 8323
20, 0, 1255, 0.1, 8, 5000, 59, "1024-10-3", 2079
20, 1, 2821, 0.1, 8, 5000, 59, "1024-10-3", 12891
20, 0, 1515, 0.1, 8, 5000, 59, "1024-10-3", 2477
20, 0, 1878, 0.1, 8, 5000, 59, "1024-10-3", 3104
20, 0, 1965, 0.1, 8, 5000, 59, "1024-10-3", 3235
20, 0, 1809, 0.1, 8, 5000, 59, "1024-10-3", 2998
20, 1, 338, 0.1, 8, 5000, 59, "1024-10-3", 8848
20, 0, 939, 0.1, 8, 5000, 59, "1024-10-3", 1520
20, 0, 707, 0.1, 8, 5000, 59, "1024-10-3", 1143
20, 0, 3013, 0.1, 8, 5000, 59, "1024-10-3", 4964
20, 0, 3603, 0.1, 8, 5000, 59, "1024-10-3", 5955
20, 1, 2954, 0.1, 8, 5000, 59, "1024-10-3", 13254
20, 1, 93, 0.1, 8, 5000, 59, "1024-10-3", 8404
20, 0, 755, 0.1, 8, 5000, 59, "1024-10-3", 1237
20, 0, 1923, 0.1, 8, 5000, 59, "1024-10-3", 3193
20, 0, 386, 0.1, 8, 5000, 59, "1024-10-3", 640
20, 0, 1547, 0.1, 8, 5000, 59, "1024-10-3", 2586
20, 0, 484, 0.1, 8, 5000, 59, "1024-10-3", 820
20, 0, 699, 0.1, 8, 5000, 59, "1024-10-3", 1181
20, 0, 2969, 0.1, 8, 5000, 59, "1024-10-3", 5035
20, 0, 1895, 0.1, 8, 5000, 59, "1024-10-3", 3189
20, 0, 1712, 0.1, 8, 5000, 59, "1024-10-3", 2891
20, 0, 3167, 0.1, 8, 5000, 59, "1024-10-3", 5273
20, 1, 384, 0.1, 8, 5000, 59, "1024-10-3", 8959
20, 0, 4207, 0.1, 8, 5000, 59, "1024-10-3", 6937
20, 0, 734, 0.1, 8, 5000, 59, "1024-10-3", 1233
20, 0, 249, 0.1, 8, 5000, 59, "1024-10-3", 407
20, 1, 1744, 0.1, 8, 5000, 59, "1024-10-3", 11200
20, 0, 416, 0.1, 8, 5000, 59, "1024-10-3", 693
20, 0, 1003, 0.1, 8, 5000, 59, "1024-10-3", 1647
20, 0, 357, 0.1, 8, 5000, 59, "1024-10-3", 598
20, 0, 894, 0.1, 8, 5000, 59, "1024-10-3", 1505
20, 1, 1674, 0.1, 8, 5000, 59, "1024-10-3", 11127
20, 0, 811, 0.1, 8, 5000, 59, "1024-10-3", 1379
20, 0, 490, 0.1, 8, 5000, 59, "1024-10-3", 827
20, 0, 1645, 0.1, 8, 5000, 59, "1024-10-3", 2763
20, 0, 706, 0.1, 8, 5000, 59, "1024-10-3", 1149
20, 0, 700, 0.1, 8, 5000, 59, "1024-10-3", 1145
20, 0, 1563, 0.1, 8, 5000, 59, "1024-10-3", 2570
20, 1, 173, 0.1, 8, 5000, 59, "1024-10-3", 8584
20, 0, 400, 0.1, 8, 5000, 59, "1024-10-3", 679
20, 1, 888, 0.1, 8, 5000, 59, "1024-10-3", 9737
20, 0, 715, 0.1, 8, 5000, 59, "1024-10-3", 1191
19, 0, 252, 0.1, 8, 5000, 59, "1024-10-3", 477
19, 0, 253, 0.1, 8, 5000, 59, "1024-10-3", 423
19, 0, 1470, 0.1, 8, 5000, 59, "1024-10-3", 2467
19, 0, 795, 0.1, 8, 5000, 59, "1024-10-3", 1294
19, 1, 2302, 0.1, 8, 5000, 59, "1024-10-3", 12281
19, 1, 221, 0.1, 8, 5000, 59, "1024-10-3", 8818
19, 0, 2045, 0.1, 8, 5000, 59, "1024-10-3", 3389
19, 0, 1800, 0.1, 8, 5000, 59, "1024-10-3", 3024
19, 0, 1421, 0.1, 8, 5000, 59, "1024-10-3", 2326
19, 0, 551, 0.1, 8, 5000, 59, "1024-10-3", 940
19, 0, 396, 0.1, 8, 5000, 59, "1024-10-3", 650
19, 0, 1904, 0.1, 8, 5000, 59, "1024-10-3", 3171
19, 1, 2151, 0.1, 8, 5000, 59, "1024-10-3", 11985
19, 0, 2937, 0.1, 8, 5000, 59, "1024-10-3", 4876
19, 1, 1047, 0.1, 8, 5000, 59, "1024-10-3", 10104
19, 0, 1180, 0.1, 8, 5000, 59, "1024-10-3", 1976
19, 0, 826, 0.1, 8, 5000, 59, "1024-10-3", 1341
19, 0, 2213, 0.1, 8, 5000, 59, "1024-10-3", 3761
19, 0, 47, 0.1, 8, 5000, 59, "1024-10-3", 78
19, 0, 246, 0.1, 8, 5000, 59, "1024-10-3", 396
19, 0, 1469, 0.1, 8, 5000, 59, "1024-10-3", 2445
19, 0, 2635, 0.1, 8, 5000, 59, "1024-10-3", 4418
19, 0, 759, 0.1, 8, 5000, 59, "1024-10-3", 1296
19, 1, 750, 0.1, 8, 5000, 59, "1024-10-3", 9600
19, 0, 1231, 0.1, 8, 5000, 59, "1024-10-3", 2083
19, 0, 2633, 0.1, 8, 5000, 59, "1024-10-3", 4364
19, 0, 3673, 0.1, 8, 5000, 59, "1024-10-3", 6135
19, 1, 134, 0.1, 8, 5000, 59, "1024-10-3", 8566
19, 0, 1058, 0.1, 8, 5000, 59, "1024-10-3", 1742
19, 0, 293, 0.1, 8, 5000, 59, "1024-10-3", 470
19, 0, 361, 0.1, 8, 5000, 59, "1024-10-3", 630
19, 0, 2410, 0.1, 8, 5000, 59, "1024-10-3", 3991
19, 0, 396, 0.1, 8, 5000, 59, "1024-10-3", 713
19, 0, 1498, 0.1, 8, 5000, 59, "1024-10-3", 2643
19, 0, 4094, 0.1, 8, 5000, 59, "1024-10-3", 6928
19, 0, 420, 0.1, 8, 5000, 59, "1024-10-3", 716
19, 1, 2214, 0.1, 8, 5000, 59, "1024-10-3", 12119
19, 0, 2184, 0.1, 8, 5000, 59, "1024-10-3", 3626
19, 0, 2005, 0.1, 8, 5000, 59, "1024-10-3", 3310
19, 0, 136, 0.1, 8, 5000, 59, "1024-10-3", 219
19, 0, 793, 0.1, 8, 5000, 59, "1024-10-3", 1343
19, 0, 540, 0.1, 8, 5000, 59, "1024-10-3", 932
19, 0, 1394, 0.1, 8, 5000, 59, "1024-10-3", 2306
19, 0, 702, 0.1, 8, 5000, 59, "1024-10-3", 1163
19, 0, 664, 0.1, 8, 5000, 59, "1024-10-3", 1098
19, 0, 2603, 0.1, 8, 5000, 59, "1024-10-3", 4317
18, 0, 1206, 0.1, 8, 5000, 59, "1024-10-3", 2017
18, 0, 2698, 0.1, 8, 5000, 59, "1024-10-3", 4473
18, 0, 1496, 0.1, 8, 5000, 59, "1024-10-3", 2506
18, 0, 2718, 0.1, 8, 5000, 59, "1024-10-3", 4496
18, 0, 4082, 0.1, 8, 5000, 59, "1024-10-3", 6744
18, 0, 683, 0.1, 8, 5000, 59, "1024-10-3", 1132
18, 0, 3092, 0.1, 8, 5000, 59, "1024-10-3", 5098
18, 0, 1505, 0.1, 8, 5000, 59, "1024-10-3", 2519
18, 0, 1170, 0.1, 8, 5000, 59, "1024-10-3", 1889
18, 0, 1095, 0.1, 8, 5000, 59, "1024-10-3", 1836
18, 1, 4416, 0.1, 8, 5000, 59, "1024-10-3", 15655
18, 0, 3640, 0.1, 8, 5000, 59, "1024-10-3", 6092
18, 0, 1124, 0.1, 8, 5000, 59, "1024-10-3", 1841
18, 0, 1732, 0.1, 8, 5000, 59, "1024-10-3", 2943
18, 0, 1669, 0.1, 8, 5000, 59, "1024-10-3", 2778
18, 0, 366, 0.1, 8, 5000, 59, "1024-10-3", 639
18, 0, 3329, 0.1, 8, 5000, 59, "1024-10-3", 5566
18, 0, 3345, 0.1, 8, 5000, 59, "1024-10-3", 5588
18, 0, 2298, 0.1, 8, 5000, 59, "1024-10-3", 3766
18, 0, 1209, 0.1, 8, 5000, 59, "1024-10-3", 2106
18, 0, 1648, 0.1, 8, 5000, 59, "1024-10-3", 2642
18, 0, 659, 0.1, 8, 5000, 59, "1024-10-3", 1094
18, 0, 2684, 0.1, 8, 5000, 59, "1024-10-3", 4305
18, 0, 311, 0.1, 8, 5000, 59, "1024-10-3", 514
18, 0, 1366, 0.1, 8, 5000, 59, "1024-10-3", 2177
18, 0, 156, 0.1, 8, 5000, 59, "1024-10-3", 245
18, 1, 1634, 0.1, 8, 5000, 59, "1024-10-3", 10674
18, 1, 368, 0.1, 8, 5000, 59, "1024-10-3", 8673
18, 0, 1092, 0.1, 8, 5000, 59, "1024-10-3", 1779
18, 0, 616, 0.1, 8, 5000, 59, "1024-10-3", 1007
18, 1, 2177, 0.1, 8, 5000, 59, "1024-10-3", 11615
18, 0, 138, 0.1, 8, 5000, 59, "1024-10-3", 217
18, 0, 1877, 0.1, 8, 5000, 59, "1024-10-3", 3003
18, 0, 686, 0.1, 8, 5000, 59, "1024-10-3", 1102
18, 0, 1202, 0.1, 8, 5000, 59, "1024-10-3", 1887
18, 0, 579, 0.1, 8, 5000, 59, "1024-10-3", 931
18, 0, 2040, 0.1, 8, 5000, 59, "1024-10-3", 3289
18, 0, 510, 0.1, 8, 5000, 59, "1024-10-3", 798
18, 2, 457, 0.1, 8, 5000, 59, "1024-10-3", 16830
18, 0, 4260, 0.1, 8, 5000, 59, "1024-10-3", 6916
18, 1, 65, 0.1, 8, 5000, 59, "1024-10-3", 8128
18, 1, 208, 0.1, 8, 5000, 59, "1024-10-3", 8327
18, 0, 622, 0.1, 8, 5000, 59, "1024-10-3", 1009
18, 0, 2369, 0.1, 8, 5000, 59, "1024-10-3", 3804
18, 0, 1316, 0.1, 8, 5000, 59, "1024-10-3", 2137
18, 1, 1517, 0.1, 8, 5000, 59, "1024-10-3", 10427
18, 0, 4781, 0.1, 8, 5000, 59, "1024-10-3", 7647
18, 0, 393, 0.1, 8, 5000, 59, "1024-10-3", 642
18, 0, 1871, 0.1, 8, 5000, 59, "1024-10-3", 3014
18, 1, 2904, 0.1, 8, 5000, 59, "1024-10-3", 12646
18, 3, 316, 0.1, 8, 5000, 59, "1024-10-3", 24520
18, 0, 1582, 0.1, 8, 5000, 59, "1024-10-3", 2561
18, 0, 2930, 0.1, 8, 5000, 59, "1024-10-3", 4684
18, 1, 642, 0.1, 8, 5000, 59, "1024-10-3", 9043
18, 2, 1006, 0.1, 8, 5000, 59, "1024-10-3", 17653
18, 0, 2482, 0.1, 8, 5000, 59, "1024-10-3", 3999
18, 1, 1688, 0.1, 8, 5000, 59, "1024-10-3", 10703
18, 1, 647, 0.1, 8, 5000, 59, "1024-10-3", 9072
18, 1, 3271, 0.1, 8, 5000, 59, "1024-10-3", 13213
18, 0, 2926, 0.1, 8, 5000, 59, "1024-10-3", 4733
18, 0, 1101, 0.1, 8, 5000, 59, "1024-10-3", 1773
18, 0, 1462, 0.1, 8, 5000, 59, "1024-10-3", 2328
18, 0, 1049, 0.1, 8, 5000, 59, "1024-10-3", 1701
18, 1, 4440, 0.1, 8, 5000, 59, "1024-10-3", 15201
18, 1, 1295, 0.1, 8, 5000, 59, "1024-10-3", 10095
18, 0, 2869, 0.1, 8, 5000, 59, "1024-10-3", 4618
18, 0, 3941, 0.1, 8, 5000, 59, "1024-10-3", 6389
18, 0, 248, 0.1, 8, 5000, 59, "1024-10-3", 388
18, 0, 2275, 0.1, 8, 5000, 59, "1024-10-3", 3660
18, 0, 1495, 0.1, 8, 5000, 59, "1024-10-3", 2369
18, 0, 416, 0.1, 8, 5000, 59, "1024-10-3", 685
18, 1, 2115, 0.1, 8, 5000, 59, "1024-10-3", 11491
18, 0, 4594, 0.1, 8, 5000, 59, "1024-10-3", 7395
18, 0, 1375, 0.1, 8, 5000, 59, "1024-10-3", 2209
18, 0, 821, 0.1, 8, 5000, 59, "1024-10-3", 1331
18, 0, 1516, 0.1, 8, 5000, 59, "1024-10-3", 2419
18, 0, 431, 0.1, 8, 5000, 59, "1024-10-3", 709
18, 2, 1430, 0.1, 8, 5000, 59, "1024-10-3", 18377
18, 0, 2585, 0.1, 8, 5000, 59, "1024-10-3", 4186
18, 0, 273, 0.1, 8, 5000, 59, "1024-10-3", 427
18, 0, 2049, 0.1, 8, 5000, 59, "1024-10-3", 3310
18, 0, 1772, 0.1, 8, 5000, 59, "1024-10-3", 2800
18, 0, 1173, 0.1, 8, 5000, 59, "1024-10-3", 1924
18, 0, 297, 0.1, 8, 5000, 59, "1024-10-3", 478
18, 0, 909, 0.1, 8, 5000, 59, "1024-10-3", 1445
18, 0, 2664, 0.1, 8, 5000, 59, "1024-10-3", 4284
18, 0, 420, 0.1, 8, 5000, 59, "1024-10-3", 659
18, 0, 2650, 0.1, 8, 5000, 59, "1024-10-3", 4254
18, 0, 241, 0.1, 8, 5000, 59, "1024-10-3", 396
18, 0, 4127, 0.1, 8, 5000, 59, "1024-10-3", 6568
18, 0, 2130, 0.1, 8, 5000, 59, "1024-10-3", 3545
18, 0, 299, 0.1, 8, 5000, 59, "1024-10-3", 465
18, 0, 411, 0.1, 8, 5000, 59, "1024-10-3", 644
18, 1, 2686, 0.1, 8, 5000, 59, "1024-10-3", 12533
18, 0, 1296, 0.1, 8, 5000, 59, "1024-10-3", 2068
18, 0, 1012, 0.1, 8, 5000, 59, "1024-10-3", 1671
18, 1, 1653, 0.1, 8, 5000, 59, "1024-10-3", 10672
18, 0, 1177, 0.1, 8, 5000, 59, "1024-10-3", 2194
18, 0, 1152, 0.1, 8, 5000, 59, "1024-10-3", 1920
18, 0, 849, 0.1, 8, 5000, 59, "1024-10-3", 1504
16, 0, 4170, 0.1, 8, 5000, 59, "1024-10-3", 6916
16, 0, 2193, 0.1, 8, 5000, 59, "1024-10-3", 3630
16, 0, 2895, 0.1, 8, 5000, 59, "1024-10-3", 4788
16, 0, 1557, 0.1, 8, 5000, 59, "1024-10-3", 2572
16, 1, 2866, 0.1, 8, 5000, 59, "1024-10-3", 13095
16, 1, 2185, 0.1, 8, 5000, 59, "1024-10-3", 11938
14, 8, 5000, 0.1, 8, 5000, 59, "1024-10-3", 66422
14, 8, 5000, 0.1, 8, 5000, 59, "1024-10-3", 67888
14, 0, 2622, 0.1, 8, 5000, 59, "1024-10-3", 4520
14, 8, 5000, 0.1, 8, 5000, 59, "1024-10-3", 67667
14, 4, 4390, 0.1, 8, 5000, 59, "1024-10-3", 44894
15, 5, 4503, 0.1, 8, 5000, 59, "1024-10-3", 49545
15, 8, 5000, 0.1, 8, 5000, 59, "1024-10-3", 66988
15, 8, 5000, 0.1, 8, 5000, 59, "1024-10-3", 67551
15, 2, 4438, 0.1, 8, 5000, 59, "1024-10-3", 24196
15, 0, 400, 0.1, 8, 5000, 59, "1024-10-7-3", 723
15, 8, 5000, 0.1, 8, 5000, 59, "1024-10-7-3", 68263
15, 0, 984, 0.1, 8, 5000, 59, "1024-10-7-3", 1752
15, 8, 5000, 0.1, 8, 5000, 59, "1024-10-7-3", 68170
15, 3, 2768, 0.1, 8, 5000, 59, "1024-10-7-3", 30466
15, 0, 4673, 0.1, 8, 5000, 59, "1024-10-7-3", 7923
15, 7, 4171, 0.1, 8, 5000, 59, "1024-10-7-3", 68309
10, 8, 10000, 0.1, 8, 10000, 59, "1024-10-7-3", 147940
15, 8, 5000, 0.1, 8, 5000, 59, "1024-15-3", 126768
15, 8, 5000, 0.1, 8, 5000, 59, "1024-15-3", 111728
15, 8, 5000, 0.1, 8, 5000, 59, "1024-15-3", 115653
15, 8, 5000, 0.1, 8, 5000, 59, "1024-15-3", 109056
15, 8, 5000, 0.1, 8, 5000, 59, "1024-15-3", 111327
15, 8, 5000, 0.1, 8, 5000, 59, "1024-15-3", 115180
15, 8, 5000, 0.1, 8, 5000, 59, "1024-15-3", 116855
15, 0, 5692, 0.1, 8, 7000, 59, "1024-10-3", 10767
15, 1, 3471, 0.1, 8, 7000, 59, "1024-10-3", 18836
15, 0, 6094, 0.1, 8, 7000, 59, "1024-10-3", 11855
15, 1, 2183, 0.1, 8, 7000, 59, "1024-10-3", 16629
15, 0, 5781, 0.1, 8, 7000, 59, "1024-10-3", 10064
15, 0, 1046, 0.1, 8, 7000, 59, "1024-10-3", 1896
15, 8, 7000, 0.1, 8, 7000, 59, "1024-10-3", 97817
15, 2, 5889, 0.1, 8, 7000, 59, "1024-10-3", 34685
15, 3, 3751, 0.1, 8, 7000, 59, "1024-10-3", 44142
15, 1, 6713, 0.1, 8, 7000, 59, "1024-10-3", 24392
15, 8, 7000, 0.1, 8, 7000, 59, "1024-10-3", 98833
15, 1, 6309, 0.1, 8, 7000, 59, "1024-10-3", 23060
15, 2, 4426, 0.1, 8, 7000, 59, "1024-10-3", 32245
15, 7, 2511, 0.1, 8, 7000, 59, "1024-10-3", 91457
15, 8, 7000, 0.1, 8, 7000, 59, "1024-10-3", 97588
15, 1, 6956, 0.1, 8, 7000, 59, "1024-10-3", 24547
15, 2, 3712, 0.1, 8, 7000, 59, "1024-10-3", 31371
15, 2, 3378, 0.1, 8, 7000, 59, "1024-10-3", 30201
15, 4, 1902, 0.1, 8, 7000, 59, "1024-10-3", 52219
15, 4, 6141, 0.1, 8, 7000, 59, "1024-10-3", 60291
15, 1, 6020, 0.1, 8, 7000, 59, "1024-10-3", 23007
15, 8, 7000, 0.1, 8, 7000, 59, "1024-10-3", 100780
15, 8, 7000, 0.1, 8, 7000, 59, "1024-10-3", 98511
15, 0, 694, 0.1, 8, 7000, 59, "1024-10-3", 1190
15, 2, 3513, 0.1, 8, 7000, 59, "1024-10-3", 30710
15, 1, 1979, 0.1, 8, 7000, 59, "1024-10-3", 15731
15, 8, 7000, 0.1, 8, 7000, 59, "1024-10-3", 97773
15, 0, 1517, 0.1, 8, 7000, 59, "1024-10-3", 2656
15, 3, 3285, 0.1, 8, 7000, 59, "1024-10-3", 42439
15, 6, 5277, 0.1, 8, 7000, 59, "1024-10-3", 82724
15, 8, 7000, 0.1, 8, 7000, 59, "1024-10-3", 98687
15, 4, 6291, 0.1, 8, 7000, 59, "1024-10-3", 61139
15, 3, 5847, 0.1, 8, 7000, 59, "1024-10-3", 48900
15, 0, 4021, 0.1, 8, 7000, 59, "1024-10-3", 6996
15, 8, 7000, 0.1, 8, 7000, 59, "1024-10-3", 98854
15, 0, 3656, 0.1, 8, 7000, 59, "1024-10-3", 6428
15, 8, 7000, 0.1, 8, 7000, 59, "1024-10-3", 98575
15, 7, 3669, 0.1, 8, 7000, 59, "1024-10-3", 92554
15, 1, 3936, 0.1, 8, 7000, 59, "1024-10-3", 19024
15, 0, 2293, 0.1, 8, 7000, 59, "1024-10-3", 3991
15, 1, 4181, 0.1, 8, 7000, 59, "1024-10-3", 20564
15, 6, 5042, 0.1, 8, 7000, 59, "1024-10-3", 85696
15, 4, 6804, 0.1, 8, 7000, 59, "1024-10-3", 63019
15, 1, 5146, 0.1, 8, 7000, 59, "1024-10-3", 21834
15, 0, 3747, 0.1, 8, 7000, 59, "1024-7-3", 4855
15, 0, 429, 0.1, 8, 7000, 59, "1024-7-3", 4121
15, 2, 4514, 0.1, 8, 7000, 59, "1024-7-3", 177536
15, 1, 1771, 0.1, 8, 7000, 59, "1024-7-3", 82461
15, 1, 1049, 0.1, 8, 7000, 59, "1024-7-3", 75461
15, 4, 1873, 0.1, 8, 7000, 59, "1024-7-3", 318581
15, 1, 1453, 0.1, 8, 7000, 59, "1024-7-3", 88731
15, 2, 4715, 0.1, 8, 7000, 59, "1024-7-3", 187395
15, 2, 3456, 0.1, 8, 7000, 59, "1024-7-3", 166739
15, 0, 892, 0.1, 8, 7000, 59, "1024-7-3", 8897
15, 0, 1329, 0.1, 8, 7000, 59, "1024-7-3", 12708
15, 0, 1711, 0.1, 8, 7000, 59, "1024-7-3", 16029
15, 1, 1379, 0.1, 8, 7000, 59, "1024-7-3", 78489
15, 8, 7000, 0.1, 8, 7000, 59, "1024-7-3", 537579
15, 0, 3471, 0.1, 8, 7000, 59, "1024-7-3", 34541
15, 0, 2037, 0.1, 8, 7000, 59, "1024-7-3", 19383
15, 0, 4342, 0.1, 8, 7000, 59, "1024-7-3", 41336
15, 3, 2148, 0.1, 8, 7000, 59, "1024-7-3", 219414
15, 1, 6027, 0.1, 8, 7000, 59, "1024-7-3", 125028
15, 1, 2621, 0.1, 8, 7000, 59, "1024-7-3", 96772
15, 6, 4273, 0.1, 8, 7000, 59, "1024-7-3", 445838
15, 0, 6500, 0.1, 8, 7000, 59, "1024-7-3", 62541
15, 1, 4898, 0.1, 8, 7000, 59, "1024-7-3", 118016
15, 2, 280, 0.1, 8, 7000, 59, "1024-7-3", 136460
15, 3, 3585, 0.1, 8, 7000, 59, "1024-7-3", 229706
15, 0, 1367, 0.1, 8, 7000, 59, "1024-7-3", 12733
15, 0, 1063, 0.1, 8, 7000, 59, "1024-7-3", 10002
15, 7, 1442, 0.1, 8, 7000, 59, "1024-7-3", 476190
15, 0, 6249, 0.1, 8, 7000, 59, "1024-7-3", 59678
15, 0, 5966, 0.1, 8, 7000, 59, "1024-7-3", 57317
15, 4, 5971, 0.1, 8, 7000, 59, "1024-7-3", 325906
